,CID10,DESC,JANEIRO,FEVEREIRO,MARÇO,ABRIL,MAIO,JUNHO,JULHO,AGOSTO,SETEMBRO,OUTUBRO,NOVEMBRO,DEZEMBRO,NUMCAP
0,A00,Cólera,1.0,,3.0,2.0,,1.0,2.0,2.0,,2.0,2.0,2.0,1.0
1,A01,Febres tifóide e paratifóide,,2.0,2.0,1.0,2.0,2.0,4.0,2.0,,1.0,3.0,1.0,1.0
2,A02,Outras infecções por Salmonella,1.0,1.0,2.0,3.0,,53.0,23.0,4.0,1.0,,3.0,,1.0
3,A03,Shiguelose,1.0,1.0,1.0,,,2.0,2.0,,,,,,1.0
4,A04,Outras infecções intestinais bacterianas,4.0,3.0,3.0,3.0,4.0,2.0,3.0,2.0,2.0,2.0,1.0,,1.0
5,A05,Outras intoxicações alimentares bacterianas,1.0,,,1.0,,1.0,,,1.0,2.0,,,1.0
6,A06,Amebíase,3.0,5.0,3.0,3.0,4.0,3.0,4.0,5.0,6.0,5.0,4.0,2.0,1.0
7,A07,Outras doenças intestinais por protozoários,,,,,1.0,1.0,,,2.0,,,2.0,1.0
8,A08,"Infecções intestinais virais, outras e as não especificadas",2.0,2.0,6.0,3.0,6.0,2.0,2.0,6.0,1.0,,1.0,1.0,1.0
9,A09,Diarréia e gastroenterite de origem infecciosa presumível,17.0,21.0,24.0,18.0,17.0,16.0,14.0,13.0,15.0,30.0,23.0,9.0,1.0
10,A15,"Tuberculose respiratória, com confirmação bacteriológica e hist",579.0,614.0,726.0,645.0,703.0,606.0,678.0,810.0,577.0,710.0,600.0,542.0,1.0
11,A16,"Tuberculose das vias respiratórias, sem confirmação bacterioló",325.0,295.0,380.0,308.0,354.0,325.0,340.0,363.0,326.0,315.0,351.0,234.0,1.0
12,A17,Tuberculose do sistema nervoso,4.0,4.0,5.0,3.0,4.0,6.0,7.0,4.0,9.0,2.0,6.0,4.0,1.0
13,A18,Tuberculose de outros órgãos,37.0,41.0,35.0,32.0,38.0,22.0,40.0,51.0,31.0,35.0,36.0,34.0,1.0
14,A19,Tuberculose miliar,4.0,11.0,11.0,10.0,11.0,10.0,8.0,12.0,5.0,10.0,12.0,9.0,1.0
15,A20,Peste,,,,1.0,,,,,,1.0,,,1.0
16,A21,Tularemia,,,,,,1.0,,,,,,,1.0
17,A22,Carbúnculo,1.0,,2.0,2.0,,1.0,2.0,,2.0,,2.0,1.0,1.0
18,A23,Brucelose,,,,2.0,2.0,,,1.0,1.0,,,1.0,1.0
19,A24,Mormo e melioidose,,,,,,,,,,,1.0,,1.0
20,A25,Febres transmitidas por mordedura de rato,,1.0,,,,,,1.0,,,,,1.0
21,A26,Erisipelóide,1.0,4.0,5.0,2.0,4.0,2.0,1.0,,1.0,4.0,5.0,4.0,1.0
22,A27,Leptospirose,15.0,26.0,21.0,13.0,25.0,12.0,11.0,20.0,15.0,19.0,10.0,10.0,1.0
23,A28,Outras doenças bacterianas zoonóticas não classificadas em o,,1.0,,1.0,1.0,,,,,2.0,,,1.0
24,A30,Hanseníase [doença de Hansen] [lepra],298.0,325.0,441.0,382.0,442.0,319.0,337.0,417.0,372.0,407.0,337.0,289.0,1.0
25,A31,Infecções devidas a outras micobactérias,4.0,6.0,2.0,5.0,5.0,2.0,2.0,4.0,4.0,2.0,1.0,1.0,1.0
26,A32,Listeriose [listeríase],1.0,1.0,,,,1.0,,1.0,1.0,,,,1.0
27,A33,Tétano do recém-nascido [neonatal],,,,,,,,,,,,,1.0
28,A34,Tétano obstétrico,,,,,,,,,,,,,1.0
29,A35,Outros tipos de tétano,1.0,2.0,,1.0,2.0,4.0,1.0,1.0,2.0,1.0,1.0,,1.0
30,A36,Difteria,,1.0,,,,,,,,,,,1.0
31,A37,Coqueluche,2.0,3.0,3.0,3.0,4.0,3.0,1.0,5.0,5.0,1.0,2.0,1.0,1.0
32,A38,Escarlatina,,,,,,,,,,,,,1.0
33,A39,Infecção meningogócica,6.0,7.0,9.0,5.0,9.0,8.0,11.0,9.0,9.0,10.0,8.0,1.0,1.0
34,A40,Septicemia estreptocócica,2.0,4.0,2.0,3.0,3.0,5.0,1.0,5.0,1.0,3.0,4.0,3.0,1.0
35,A41,Outras septicemias,25.0,27.0,25.0,28.0,28.0,24.0,24.0,32.0,23.0,26.0,24.0,28.0,1.0
36,A42,Actinomicose,3.0,,2.0,1.0,,1.0,,,1.0,2.0,2.0,1.0,1.0
37,A43,Nocardiose,,,,,1.0,,,,,,,,1.0
38,A44,Bartonelose,,1.0,1.0,1.0,2.0,,,2.0,,1.0,2.0,,1.0
39,A46,Erisipela,240.0,265.0,340.0,302.0,297.0,268.0,267.0,314.0,211.0,275.0,238.0,189.0,1.0
40,A48,Outras doenças bacterianas não classificadas em outra parte,10.0,9.0,13.0,11.0,10.0,7.0,6.0,2.0,9.0,7.0,7.0,8.0,1.0
41,A49,Infecção bacteriana de local não especificado,38.0,23.0,37.0,36.0,38.0,41.0,30.0,43.0,33.0,30.0,26.0,29.0,1.0
42,A50,Sífilis congênita,,,,,,,,,,,,,1.0
43,A51,Sífilis precoce,2.0,2.0,4.0,2.0,2.0,,3.0,2.0,3.0,2.0,5.0,3.0,1.0
44,A52,Sífilis tardia,2.0,4.0,3.0,2.0,5.0,5.0,3.0,9.0,3.0,6.0,7.0,6.0,1.0
45,A53,Outras formas e as não especificadas da sífilis,1.0,,10.0,,4.0,2.0,2.0,4.0,2.0,3.0,,4.0,1.0
46,A54,Infecção gonocócica,,,,,3.0,1.0,1.0,,1.0,,4.0,1.0,1.0
47,A55,Linfogranuloma (venéreo) por clamídia,,,,1.0,,1.0,,1.0,,,,,1.0
48,A56,Outras infecções causadas por clamídias transmitidas por via s,,,1.0,,2.0,,,,1.0,,,,1.0
49,A57,Cancro mole,,,1.0,1.0,,,,,,,,,1.0
50,A58,Granuloma inguinal,1.0,2.0,,,,1.0,3.0,,1.0,1.0,1.0,1.0,1.0
51,A59,Tricomoníase,,,,,1.0,,,,,,,,1.0
52,A60,Infecções anogenitais pelo vírus do herpes [herpes simples],4.0,1.0,1.0,1.0,2.0,1.0,2.0,2.0,1.0,3.0,,3.0,1.0
53,A63,"Outras doenças de transmissão predominantemente sexual, nã",7.0,8.0,7.0,13.0,12.0,8.0,8.0,8.0,4.0,11.0,9.0,13.0,1.0
54,A64,"Doenças sexualmente transmitidas, não especificadas",1.0,2.0,3.0,,1.0,,1.0,1.0,1.0,,1.0,2.0,1.0
55,A65,Sífilis não-venérea,,,,1.0,,,,2.0,,,,,1.0
56,A66,Bouba,2.0,5.0,1.0,1.0,4.0,3.0,3.0,3.0,5.0,4.0,4.0,4.0,1.0
57,A67,Pinta [carate],,,2.0,,,,1.0,1.0,,,,1.0,1.0
58,A68,Febres recorrentes [Borrelioses],1.0,2.0,,2.0,2.0,3.0,3.0,1.0,3.0,3.0,5.0,2.0,1.0
59,A69,Outras infecções por espiroquetas,1.0,2.0,1.0,,1.0,,,,,1.0,3.0,,1.0
60,A70,Infecções causadas por Clamídia psittaci,,,,,,,1.0,,,1.0,,,1.0
61,A71,Tracoma,,1.0,,3.0,2.0,,,4.0,,2.0,,3.0,1.0
62,A74,Outras doenças causadas por Clamídias,3.0,1.0,2.0,,2.0,3.0,,,1.0,1.0,3.0,2.0,1.0
63,A75,Tifo exantemático,,,,,,,,,,,,,1.0
64,A77,Febre maculosa [rickettsioses transmitidas por carrapatos],4.0,,,1.0,,,2.0,,,1.0,1.0,1.0,1.0
65,A78,Febre Q,,,,,,,,,,,,,1.0
66,A79,Outras rickettsioses,,,,,1.0,1.0,,,,,,,1.0
67,A80,Poliomielite aguda,,1.0,3.0,2.0,4.0,,1.0,3.0,,2.0,2.0,2.0,1.0
