,CID10,DESC,JANEIRO,FEVEREIRO,MARÇO,ABRIL,MAIO,JUNHO,JULHO,AGOSTO,SETEMBRO,OUTUBRO,NOVEMBRO,DEZEMBRO,NUMCAP
0,A00,Cólera,1.0,0.0,1.0,2.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0
1,A01,Febres tifóide e paratifóide,2.0,0.0,3.0,0.0,0.0,0.0,1.0,1.0,2.0,2.0,1.0,0.0,1.0
2,A02,Outras infecções por Salmonella,3.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0
3,A03,Shiguelose,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0
4,A04,Outras infecções intestinais bacterianas,3.0,2.0,8.0,3.0,5.0,3.0,1.0,2.0,3.0,5.0,1.0,2.0,1.0
5,A05,Outras intoxicações alimentares bacterianas,1.0,0.0,4.0,4.0,0.0,1.0,0.0,1.0,2.0,0.0,0.0,0.0,1.0
6,A06,Amebíase,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0,2.0,7.0,8.0,5.0,1.0
7,A07,Outras doenças intestinais por protozoários,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0
8,A08,"Infecções intestinais virais, outras e as não especificadas",0.0,1.0,0.0,0.0,0.0,0.0,0.0,3.0,5.0,2.0,3.0,4.0,1.0
9,A09,Diarréia e gastroenterite de origem infecciosa presumível,0.0,0.0,0.0,0.0,0.0,0.0,4.0,13.0,17.0,16.0,11.0,17.0,1.0
10,A15,"Tuberculose respiratória, com confirmação bacteriológica e hist",586.0,529.0,749.0,630.0,615.0,561.0,474.0,592.0,642.0,684.0,672.0,637.0,1.0
11,A16,"Tuberculose das vias respiratórias, sem confirmação bacterioló",252.0,223.0,311.0,267.0,261.0,238.0,210.0,313.0,357.0,383.0,325.0,351.0,1.0
12,A17†,Tuberculose do sistema nervoso,8.0,2.0,3.0,2.0,5.0,5.0,4.0,3.0,4.0,10.0,3.0,7.0,1.0
13,A18,Tuberculose de outros órgãos,35.0,37.0,42.0,26.0,35.0,32.0,21.0,31.0,35.0,48.0,32.0,23.0,1.0
14,A19,Tuberculose miliar,12.0,6.0,12.0,14.0,12.0,12.0,7.0,9.0,6.0,9.0,12.0,8.0,1.0
15,A20,Peste,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
16,A21,Tularemia,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
17,A22,Carbúnculo,1.0,2.0,0.0,2.0,0.0,0.0,2.0,0.0,1.0,1.0,2.0,5.0,1.0
18,A23,Brucelose,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0
19,A24,Mormo e melioidose,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0
20,A25,Febres transmitidas por mordedura de rato,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0
21,A26,Erisipelóide,2.0,1.0,5.0,6.0,4.0,0.0,0.0,3.0,3.0,1.0,1.0,4.0,1.0
