,CID10,DESC,JANEIRO,FEVEREIRO,MARÇO,ABRIL,MAIO,JUNHO,JULHO,AGOSTO,SETEMBRO,OUTUBRO,NOVEMBRO,DEZEMBRO,NUMCAP
0,A00,Cólera,5.0,10.0,10.0,6.0,10.0,15.0,14.0,7.0,10.0,18.0,14.0,15.0,1.0
1,A01,Febres tifóide e paratifóide,1.0,3.0,3.0,1.0,3.0,2.0,,6.0,3.0,5.0,3.0,,1.0
2,A02,Outras infecções por Salmonella,1.0,1.0,3.0,1.0,2.0,2.0,1.0,,4.0,,3.0,2.0,1.0
3,A03,Shiguelose,,,,,,,,,2.0,1.0,1.0,1.0,1.0
4,A04,Outras infecções intestinais bacterianas,2.0,6.0,2.0,7.0,6.0,3.0,5.0,2.0,1.0,3.0,3.0,2.0,1.0
5,A05,Outras intoxicações alimentares bacterianas,,1.0,2.0,,,1.0,1.0,,,1.0,1.0,1.0,1.0
6,A06,Amebíase,6.0,6.0,4.0,4.0,3.0,4.0,3.0,6.0,7.0,3.0,6.0,4.0,1.0
7,A07,Outras doenças intestinais por protozoários,,1.0,1.0,1.0,2.0,,,,,,,,1.0
8,A08,"Infecções intestinais virais, outras e as não especificadas",1.0,2.0,3.0,5.0,2.0,3.0,4.0,5.0,2.0,2.0,1.0,3.0,1.0
9,A09,Diarréia e gastroenterite de origem infecciosa presumível,23.0,29.0,27.0,18.0,25.0,21.0,18.0,25.0,28.0,25.0,16.0,16.0,1.0
10,A15,"Tuberculose respiratória, com confirmação bacteriológica e histol ó  g  i c",,647.0,665.0,686.0,663.0,555.0,623.0,772.0,745.0,699.0,623.0,542.0,1.0
11,A17,Tuberculose do sistema nervoso,7.0,10.0,4.0,5.0,4.0,4.0,7.0,5.0,6.0,7.0,7.0,6.0,1.0
12,A18,Tuberculose de outros órgãos,46.0,37.0,39.0,33.0,33.0,30.0,38.0,38.0,45.0,36.0,24.0,27.0,1.0
13,A19,Tuberculose miliar,11.0,10.0,9.0,6.0,6.0,10.0,9.0,11.0,14.0,13.0,7.0,10.0,1.0
14,A20,Peste,,,,,,,,,,,,,1.0
15,A21,Tularemia,,,,,,,,,,,,,1.0
16,A22,Carbúnculo,2.0,1.0,,,4.0,,3.0,2.0,,1.0,2.0,,1.0
17,A23,Brucelose,1.0,,1.0,2.0,4.0,1.0,,1.0,2.0,3.0,2.0,1.0,1.0
18,A24,Mormo e melioidose,,1.0,,,,1.0,,,,,,,1.0
19,A25,Febres transmitidas por mordedura de rato,,,,,,,,,,,,,1.0
20,A26,Erisipelóide,7.0,4.0,2.0,3.0,5.0,2.0,3.0,3.0,4.0,4.0,6.0,3.0,1.0
21,A27,Leptospirose,14.0,18.0,21.0,23.0,25.0,13.0,20.0,23.0,17.0,15.0,10.0,12.0,1.0
22,A28,Outras doenças bacterianas zoonóticas não classificadas em ou t r a    p  a  r t,,1.0,,,2.0,2.0,,1.0,1.0,,,,1.0
23,A30,Hanseníase [doença de Hansen] [lepra],271.0,338.0,289.0,338.0,321.0,327.0,337.0,374.0,381.0,378.0,324.0,260.0,1.0
24,A31,Infecções devidas a outras micobactérias,3.0,4.0,3.0,5.0,6.0,3.0,3.0,4.0,6.0,7.0,4.0,7.0,1.0
25,A32,Listeriose [listeríase],1.0,,,,,,,,,,,,1.0
26,A33,Tétano do recém-nascido [neonatal],,,,,,,,,,,,,1.0
27,A34,Tétano obstétrico,,,,,,,,,,,,,1.0
28,A35,Outros tipos de tétano,2.0,1.0,3.0,1.0,2.0,2.0,,,3.0,,2.0,,1.0
29,A36,Difteria,,,,1.0,,,,,,1.0,,,1.0
30,A37,Coqueluche,4.0,3.0,8.0,3.0,7.0,2.0,1.0,5.0,1.0,2.0,1.0,1.0,1.0
31,A38,Escarlatina,,,,1.0,1.0,,1.0,,,,,,1.0
32,A39,Infecção meningogócica,5.0,7.0,4.0,8.0,2.0,5.0,3.0,5.0,1.0,6.0,7.0,3.0,1.0
33,A40,Septicemia estreptocócica,3.0,2.0,3.0,3.0,1.0,3.0,6.0,2.0,3.0,3.0,3.0,4.0,1.0
