,CID10,DESC,JANEIRO,FEVEREIRO,MARÇO,ABRIL,MAIO,JUNHO,JULHO,AGOSTO,SETEMBRO,OUTUBRO,NOVEMBRO,DEZEMBRO,NUMCAP
0,A00,Cólera,1.0,,,,,,,1.0,,,,,1.0
1,A01,Febres tifóide e paratifóide,,,,,,,,,,,,,1.0
2,A02,Outras infecções por Salmonella,,,,,,,,,,,,,1.0
3,A03,Shiguelose,,,,,,,,,,,,,1.0
4,A04,Outras infecções intestinais bacterianas,,,,,,,,,,,,,1.0
5,A05,Outras intoxicações alimentares bacterianas,,,,,,,,,,,,,1.0
6,A06,Amebíase,,,,,,,,,,,,,1.0
7,A07,Outras doenças intestinais por protozoários,,,,,,,,,,,,,1.0
8,A08,"Infecções intestinais virais, outras e as não especificadas",,,,,,,,,,,,,1.0
9,A09,Diarréia e gastroenterite de origem infecciosa presumível,,,,,,,,,,,,,1.0
10,A15,"Tuberculose respiratória, com confirmação bacteriológica e histo  l ó  g  i c",,18.0,38.0,25.0,24.0,25.0,21.0,19.0,14.0,16.0,16.0,10.0,1.0
11,A17,Tuberculose do sistema nervoso,1.0,,,,,,1.0,,,,1.0,,1.0
12,A18,Tuberculose de outros órgãos,,4.0,,1.0,,,3.0,1.0,3.0,2.0,,2.0,1.0
13,A19,Tuberculose miliar,,,,,1.0,,1.0,,2.0,1.0,1.0,,1.0
14,A20,Peste,,,,,,,,,,,,,1.0
15,A21,Tularemia,,,,,,,,,,,,,1.0
16,A22,Carbúnculo,,,,,,,,,,,,,1.0
17,A23,Brucelose,1.0,1.0,1.0,1.0,2.0,2.0,2.0,,4.0,,,2.0,1.0
18,A24,Mormo e melioidose,,,,,,,,,,,,,1.0
19,A25,Febres transmitidas por mordedura de rato,,,,,,,,,,,,,1.0
20,A26,Erisipelóide,,,,,,1.0,,1.0,,,,,1.0
21,A27,Leptospirose,1.0,7.0,5.0,2.0,3.0,7.0,4.0,2.0,2.0,4.0,2.0,1.0,1.0
22,A30,Hanseníase [doença de Hansen] [lepra],1.0,,,,1.0,,,,,,,1.0,1.0
23,A31,Infecções devidas a outras micobactérias,,,,,,1.0,,,,,,,1.0
24,A32,Listeriose [listeríase],,,,,,,,,,,,,1.0
25,A33,Tétano do recém-nascido [neonatal],,,,,,,,,,,,,1.0
26,A34,Tétano obstétrico,,,,,,,,,,,,,1.0
27,A35,Outros tipos de tétano,,1.0,2.0,,,,,,,1.0,,,1.0
28,A36,Difteria,,,,,,,,,,,,,1.0
29,A37,Coqueluche,,,,,,,,,,,,,1.0
30,A38,Escarlatina,,,,,,,,,,,,,1.0
31,A39,Infecção meningogócica,,,,,,,,,,,,,1.0
32,A40,Septicemia estreptocócica,,,,,,,,,,,,,1.0
33,A41,Outras septicemias,,1.0,1.0,,,,,,,,1.0,1.0,1.0
34,A42,Actinomicose,,,,,,,,,,,,,1.0
35,A43,Nocardiose,,,,,,,,,,,,,1.0
36,A44,Bartonelose,,,,,,,,,,,,,1.0
37,A46,Erisipela,3.0,3.0,3.0,3.0,1.0,4.0,,1.0,1.0,1.0,2.0,,1.0
