,CID10,DESC,JANEIRO,FEVEREIRO,MARÇO,ABRIL,MAIO,JUNHO,JULHO,AGOSTO,SETEMBRO,OUTUBRO,NOVEMBRO,DEZEMBRO,NUMCAP
0,A00,Cólera,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
1,A01,Febres tifóide e paratifóide,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
2,A02,Outras infecções por Salmonella,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
3,A03,Shiguelose,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
4,A04,Outras infecções intestinais bacterianas,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
5,A05,Outras intoxicações alimentares bacterianas,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
6,A06,Amebíase,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
7,A07,Outras doenças intestinais por protozoários,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
8,A08,"Infecções intestinais virais, outras e as não especificadas",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
9,A09,Diarréia e gastroenterite de origem infecciosa presumível,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
10,A15,"Tuberculose respiratória, com confirmação bacteriológica e his",2.0,0.0,2.0,73.0,83.0,66.0,61.0,59.0,46.0,53.0,45.0,51.0,1.0
11,A16,"Tuberculose das vias respiratórias, sem confirmação bacterioló",0.0,2.0,0.0,23.0,40.0,25.0,26.0,29.0,20.0,29.0,22.0,23.0,1.0
12,A17†,Tuberculose do sistema nervoso,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0
13,A18,Tuberculose de outros órgãos,0.0,0.0,0.0,2.0,4.0,4.0,4.0,6.0,4.0,3.0,6.0,4.0,1.0
14,A19,Tuberculose miliar,0.0,0.0,0.0,0.0,2.0,2.0,0.0,1.0,5.0,0.0,5.0,1.0,1.0
15,A20,Peste,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
16,A21,Tularemia,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
17,A22,Carbúnculo,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
18,A23,Brucelose,0.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,2.0,0.0,1.0,0.0,1.0
19,A24,Mormo e melioidose,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
20,A25,Febres transmitidas por mordedura de rato,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
21,A26,Erisipelóide,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0
22,A27,Leptospirose,0.0,1.0,0.0,16.0,7.0,9.0,3.0,3.0,8.0,4.0,4.0,3.0,1.0
23,A28,Outras doenças bacterianas zoonóticas não classificadas em o,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
24,A30,Hanseníase [doença de Hansen] [lepra],0.0,0.0,0.0,2.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0
25,A31,Infecções devidas a outras micobactérias,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
26,A32,Listeriose [listeríase],0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
27,A34,Tétano obstétrico,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
28,A35,Outros tipos de tétano,0.0,0.0,0.0,1.0,0.0,0.0,3.0,0.0,1.0,1.0,1.0,1.0,1.0
29,A36,Difteria,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
30,A37,Coqueluche,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
31,A38,Escarlatina,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
32,A39,Infecção meningogócica,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
33,A40,Septicemia estreptocócica,0.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,1.0
34,A41,Outras septicemias,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0
35,A42,Actinomicose,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
36,A43,Nocardiose,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
37,A44,Bartonelose,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
38,A46,Erisipela,3.0,0.0,0.0,3.0,1.0,2.0,2.0,0.0,2.0,2.0,0.0,3.0,1.0
