,CID10,DESC,JANEIRO,FEVEREIRO,MARÇO,ABRIL,MAIO,JUNHO,JULHO,AGOSTO,SETEMBRO,OUTUBRO,NOVEMBRO,DEZEMBRO,NUMCAP
0,A00,Cólera,4.0,5.0,11.0,11.0,11.0,10.0,3.0,13.0,5.0,11.0,8.0,4.0,1.0
1,A01,Febres tifóide e paratifóide,2.0,,2.0,,2.0,2.0,,,6.0,3.0,,2.0,1.0
2,A02,Outras infecções por Salmonella,1.0,,1.0,2.0,2.0,1.0,1.0,2.0,,2.0,1.0,,1.0
3,A03,Shiguelose,,,,1.0,,,1.0,,1.0,,,,1.0
4,A04,Outras infecções intestinais bacterianas,5.0,3.0,4.0,4.0,3.0,6.0,2.0,1.0,1.0,3.0,1.0,2.0,1.0
5,A05,Outras intoxicações alimentares bacterianas,2.0,1.0,2.0,1.0,1.0,2.0,,1.0,1.0,3.0,,,1.0
6,A06,Amebíase,2.0,7.0,5.0,6.0,4.0,,2.0,2.0,4.0,2.0,3.0,1.0,1.0
7,A07,Outras doenças intestinais por protozoários,1.0,3.0,2.0,,,,,,,,1.0,1.0,1.0
8,A08,"Infecções intestinais virais, outras e as não especificadas",1.0,3.0,2.0,1.0,2.0,1.0,3.0,2.0,1.0,2.0,1.0,,1.0
9,A09,Diarréia e gastroenterite de origem infecciosa presumível,20.0,20.0,25.0,18.0,9.0,11.0,8.0,13.0,12.0,10.0,6.0,8.0,1.0
10,A16,"Tuberculose das vias respiratórias, sem confirmação bacteriológ  i c  a    o2 u1 4histo  l ó  g  i",,,297.0,275.0,263.0,261.0,226.0,188.0,160.0,149.0,155.0,150.0,1.0
11,A17,Tuberculose do sistema nervoso,,7.0,7.0,7.0,7.0,8.0,4.0,3.0,6.0,1.0,4.0,4.0,1.0
12,A18,Tuberculose de outros órgãos,30.0,25.0,36.0,46.0,34.0,33.0,8.0,21.0,15.0,25.0,24.0,19.0,1.0
13,A19,Tuberculose miliar,9.0,8.0,9.0,11.0,12.0,11.0,5.0,5.0,3.0,2.0,5.0,3.0,1.0
14,A20,Peste,,1.0,1.0,,,,,,,,1.0,,1.0
15,A21,Tularemia,,,,,,,,,,,1.0,,1.0
16,A22,Carbúnculo,,,1.0,1.0,,2.0,1.0,,,3.0,1.0,,1.0
17,A23,Brucelose,,2.0,1.0,,1.0,4.0,1.0,,,,,2.0,1.0
18,A24,Mormo e melioidose,,,,,,,,,,,,,1.0
19,A25,Febres transmitidas por mordedura de rato,,,,,,,,,,,1.0,,1.0
20,A26,Erisipelóide,3.0,3.0,9.0,4.0,1.0,3.0,3.0,3.0,1.0,4.0,1.0,2.0,1.0
21,A27,Leptospirose,19.0,15.0,29.0,21.0,22.0,18.0,9.0,11.0,4.0,8.0,7.0,10.0,1.0
22,A30,Hanseníase [doença de Hansen] [lepra],237.0,225.0,347.0,298.0,296.0,308.0,185.0,174.0,129.0,179.0,181.0,136.0,1.0
23,A31,Infecções devidas a outras micobactérias,8.0,2.0,4.0,2.0,3.0,6.0,3.0,4.0,2.0,3.0,4.0,1.0,1.0
24,A32,Listeriose [listeríase],,,,,,1.0,,,,,2.0,,1.0
25,A33,Tétano do recém-nascido [neonatal],,,,,,,,,,,,,1.0
26,A34,Tétano obstétrico,,,1.0,,,,,,,,,,1.0
27,A35,Outros tipos de tétano,2.0,1.0,1.0,2.0,1.0,2.0,1.0,2.0,,1.0,1.0,,1.0
28,A36,Difteria,,,,,,,,,,,,,1.0
