,CID10,DESC,JANEIRO,FEVEREIRO,MARÇO,ABRIL,MAIO,JUNHO,JULHO,AGOSTO,SETEMBRO,OUTUBRO,NOVEMBRO,DEZEMBRO,NUMCAP
0,A00,Cólera,3.0,4.0,3.0,5.0,12.0,8.0,8.0,12.0,15.0,14.0,11.0,10.0,1.0
1,A01,Febres tifóide e paratifóide,1.0,,,1.0,,2.0,,1.0,4.0,,2.0,,1.0
2,A02,Outras infecções por Salmonella,,3.0,4.0,1.0,2.0,,1.0,,2.0,,1.0,1.0,1.0
3,A03,Shiguelose,,1.0,1.0,1.0,1.0,,,1.0,1.0,2.0,,,1.0
4,A04,Outras infecções intestinais bacterianas,1.0,3.0,3.0,4.0,7.0,4.0,5.0,1.0,5.0,4.0,6.0,2.0,1.0
5,A05,Outras intoxicações alimentares bacterianas,2.0,2.0,,,2.0,2.0,,1.0,1.0,1.0,,1.0,1.0
6,A06,Amebíase,2.0,2.0,5.0,8.0,10.0,6.0,1.0,2.0,6.0,1.0,4.0,3.0,1.0
7,A07,Outras doenças intestinais por protozoários,,,,4.0,,,,,2.0,,1.0,,1.0
8,A08,"Infecções intestinais virais, outras e as não especificadas",2.0,1.0,2.0,3.0,4.0,1.0,2.0,1.0,,2.0,4.0,1.0,1.0
9,A09,Diarréia e gastroenterite de origem infecciosa presumível,23.0,15.0,24.0,21.0,30.0,20.0,18.0,16.0,21.0,15.0,9.0,15.0,1.0
10,A15,"Tuberculose respiratória, com confirmação bacteriológica e his",627.0,604.0,750.0,821.0,703.0,644.0,659.0,710.0,772.0,728.0,658.0,540.0,1.0
11,A16,"Tuberculose das vias respiratórias, sem confirmação bacterioló",271.0,272.0,318.0,332.0,379.0,276.0,322.0,331.0,353.0,340.0,294.0,248.0,1.0
12,A17,Tuberculose do sistema nervoso,5.0,5.0,6.0,5.0,7.0,3.0,3.0,8.0,4.0,5.0,8.0,3.0,1.0
13,A18,Tuberculose de outros órgãos,33.0,28.0,40.0,48.0,43.0,40.0,32.0,36.0,34.0,38.0,39.0,34.0,1.0
14,A19,Tuberculose miliar,13.0,9.0,13.0,13.0,14.0,10.0,11.0,13.0,10.0,13.0,16.0,8.0,1.0
15,A20,Peste,,,,,,,,,,,1.0,,1.0
16,A21,Tularemia,,,,,,1.0,,,,,,,1.0
17,A22,Carbúnculo,1.0,2.0,1.0,,3.0,,2.0,2.0,3.0,2.0,1.0,1.0,1.0
18,A23,Brucelose,,,2.0,1.0,,,,,1.0,1.0,,,1.0
19,A24,Mormo e melioidose,,,,,,,1.0,,,,,,1.0
