,CID10,DESC,JANEIRO,FEVEREIRO,MARÇO,ABRIL,MAIO,JUNHO,JULHO,AGOSTO,SETEMBRO,OUTUBRO,NOVEMBRO,DEZEMBRO,NUMCAP
0,A00,Cólera,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0
1,A01,Febres tifóide e paratifóide,2.0,1.0,2.0,0.0,1.0,1.0,2.0,0.0,3.0,3.0,1.0,2.0,1.0
2,A02,Outras infecções por Salmonella,1.0,3.0,2.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0
3,A03,Shiguelose,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0
4,A04,Outras infecções intestinais bacterianas,4.0,4.0,0.0,4.0,2.0,4.0,1.0,4.0,1.0,1.0,2.0,2.0,1.0
5,A05,Outras intoxicações alimentares bacterianas,2.0,0.0,2.0,0.0,0.0,1.0,1.0,0.0,2.0,2.0,1.0,1.0,1.0
6,A06,Amebíase,0.0,0.0,1.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0
7,A07,Outras doenças intestinais por protozoários,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0
8,A08,"Infecções intestinais virais, outras e as não especificadas",0.0,1.0,2.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
9,A09,Diarréia e gastroenterite de origem infecciosa presumível,5.0,1.0,5.0,5.0,0.0,1.0,2.0,3.0,7.0,1.0,0.0,3.0,1.0
10,A15,"Tuberculose respiratória, com confirmação bacteriológica e his",692.0,610.0,710.0,559.0,747.0,579.0,613.0,829.0,607.0,744.0,681.0,648.0,1.0
11,A16,"Tuberculose das vias respiratórias, sem confirmação bacterioló",222.0,192.0,224.0,202.0,264.0,211.0,216.0,310.0,227.0,288.0,309.0,263.0,1.0
12,A17,Tuberculose do sistema nervoso,1.0,3.0,3.0,1.0,5.0,5.0,6.0,7.0,3.0,3.0,3.0,2.0,1.0
